ADDRESS,PROPERTY MANAGEMENT COMPANY,NOTES,BARCODE #,Price/month,Area,start up date,"STATUS- (ACTIVE, CANCELLED, ON HOLD)",KEYS,TEST DAY,ANNUAL,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,,,,,
#103-4475 Viewmont,Hansbraun,MONTHLY EXT & ELU TESTS - Cancelled in November 2025,,$75.00,"Saanich, BC",Sep-24,CANCELLED,NONE,-,May,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,X,-,,,,,
10 Paul Kane/11 Cooperage Place,Proline,,,$55.00,"Esquimalt, BC",Apr-14,ACTIVE,UV 01,W1-R7,May,Y,X,Y,Y,ANNUAL,X,Y,Y,Y,Y,Y,X,,,,,
1000 Mckenzie Avenue,Starlight/Devon,,,$55.00,"Saanich, BC",Sep-24,ACTIVE,M 0001,W1-R6,May,Y,Y,Y,Y,Y,ANNUAL,X,X,Y,Y,Y,Y,,,,,
1000-1012 Douglas Street,Itziar Management Ltd. (0824606 BC Ltd.),,,$60.00,"Victoria, BC",Oct-24,ACTIVE,D 2101,TH2-R15,June,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
1001 Wharf Street,Pastoral Developments Ltd.,,,$55.00,"Victoria, BC",Aug-18,ACTIVE,"NA 1001
K2-F1",TH2-R15,October,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,,,,,
10016 3rd Street,Cornerstone,,,$50.00,"Sidney, BC",Jan-23,ACTIVE,358,F2-R16,February,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
10017 Avenger Way,Lumberworld Operations Ltd.,,,$75.00,"Sidney, BC",Jul-25,ACTIVE,VG 71001,F2-R16,October,-,-,-,-,-,-,X,Y,Y,ANNUAL,Y,Y,,,,,
1002 Mckenzie Avenue,Starlight/Devon,,,$55.00,"Saanich, BC",Sep-24,ACTIVE,M 0001,W1-R6,May,Y,Y,Y,Y,Y,ANNUAL,X,Y,Y,Y,Y,Y,,,,,
1002 Pakington,Proline ,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,146,TU3-R18,September,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,,,,,
1002 Wharf Street,Malahat Properties,,,$55.00,"Victoria, BC",Dec-20,ACTIVE,At Reception,TH2-R15,January,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
10025 Resthaven Drive,Inken Roller c/o Richmond Property Group,,,$50.00,"Sidney, BC",Jan-23,ACTIVE,349,F2-R16,February,Y,ANNUAL,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
10030 Resthaven Drive,Raven Property Management Ltd.,,,$75.00,"Sidney, BC",Feb-21,ACTIVE,SC 03001,F2-R16,May,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,,,,,
1004 Pemberton Road,Raul Caballero,,,$70.00,"Victoria, BC",Aug-23,ACTIVE,PB 4001,M1-R1,December,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,,,,,
1005 & 1009 McKenzie Avenue,Firm Management,,,$60.00,"Saanich, BC",,ACTIVE,MN 5001,TU1-R4,May,X,X,X,X,X,ANNUAL,Y,Y,Y,Y,Y,Y,,,,,
1005 Broad Street          ,Richmond Property Group,,,$55.00,"Victoria, BC",,ACTIVE,"K 5001
K4",TH2-R15,March,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
1005 Pakington Street,Century 21 Queenswood,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,171,TU3-R18,August,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,,,,,
1005 St. Charles Street,Bross Holdings,,,$55.00,"Victoria, BC",Feb-25,ACTIVE,HC 5001,TH1-R9,May,X,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,,,,,
1006 Fort Street,Colliers,,,$75.00,"Victoria, BC",Nov-12,ACTIVE,"ZZ 6001
K3-F1",M1-R2,September,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,,,,,
1006 Tolmie Avenue,Century 21 Queenswood,,,$60.00,"Victoria, BC",,ACTIVE,163,M1-R1,January,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
1007 Esquimalt Road,Starlight Properties ,,,$50.00,"Esquimalt, BC",,ACTIVE,LT 7001,W1-R7,May,Y,Y,Y,Y,ANNUAL,X,Y,Y,Y,Y,Y,X,,,,,
101 Ontario Street,Proline Property Management,,,$55.00,"Victoria, BC",Feb-25,ACTIVE,TO 101,W3-R20,November,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
