address,month_date,skip_reason
1000 Mckenzie Avenue,2026-04-01,lack of time
10017 Avenger Way,2026-03-01,no keys
1002 Mckenzie Avenue,2026-04-01,lack of time
101 Ontario Street,2026-03-01,lack of techs
101 Ontario Street,2026-04-01,lack of time
104 Dallas Road,2026-03-01,lack of techs
105 Wilson Street,2026-03-01,sprinkler test conducted on same day
1066 Foul Bay Road,2026-03-01,lack of techs
1122 Hilda Street,2026-03-01,lack of techs
1125 Douglas Street,2026-02-01,on hold
1130 Fort Street,2026-04-01,no reason given
1178 Beach Drive,2026-03-01,lack of techs
118 Croft Street,2026-03-01,lack of techs
1190 May Street,2026-03-01,lack of techs
1249 Rockland Avenue,2026-01-01,skipped per site request
125 Croft Street,2026-03-01,lack of techs
127 Howe Street,2026-03-01,lack of techs
1270 Beach Drive,2026-03-01,lack of techs
1275 Oscar Street,2026-03-01,lack of techs
1312 Beach Drive,2026-03-01,lack of techs
1319 Newport Avenue,2026-03-01,lack of techs
1340 Sussex Road,2026-04-01,service call
1369 Mitchell Street,2026-03-01,lack of techs
1400 Beach Drive,2026-03-01,lack of techs
1433 Faircliff Lane,2026-03-01,lack of techs
1436 Harrison Street,2026-04-01,skipped no reason given
146 Clarence Street,2026-03-01,lack of techs
1465 Fort Street,2026-03-01,panel upgrade
1468 Vancouver Street,2026-02-01,no reason given
1536 Wilmot Place,2026-03-01,lack of techs
1580 Hillside Avenue,2026-01-01,no monitoring info
1595 Rockland Avenue,2026-04-01,annual but site was no show
1597 Mortimer Street,2026-02-01,no access
160 Wilson Street,2026-02-01,only fire phones tested
1625 Richmond Road,2026-04-01,no key after a service call
1901 Mt. Newton Cross Road,2026-02-01,lack of time
20 Olympia Avenue,2026-03-01,lack of techs
200 Dallas Road,2026-03-01,lack of techs
2065 Oak Bay Avenue,2026-03-01,lack of techs
214 Moss Street,2026-03-01,lack of techs
215 Oswego Street,2026-03-01,lack of techs
2161 Haultain Street,2026-01-01,construction
2161 Haultain Street,2026-02-01,construction
2161 Haultain Street,2026-03-01,construction
2161 Haultain Street,2026-04-01,construction
2161 Haultain Street,2026-05-01,construction
2243 Beacon Avenue,2026-03-01,event on site
225 Bellville Street,2026-03-01,lack of techs
2250 Oak Bay Avenue,2026-03-01,lack of techs
231 Regina Avenue,2026-01-01,techs did not start testing before 11:30am
235 Michigan Street,2026-03-01,lack of techs
2476 Mt. Newton Cross Road,2026-02-01,lack of time
250 Oswego Street,2026-03-01,lack of techs
2530 Mt Newton Cross Road,2026-02-01,lack of time
2549 Dowler Place,2026-03-01,Annual but annual was then rescheduled
260 Michigan Street,2026-03-01,lack of techs
2605 Windsor Road,2026-03-01,lack of techs
268 Superior Street,2026-03-01,lack of techs
2785 Quadra Street,2026-01-01,access to electrical room only
2785 Quadra Street,2026-04-01,no access
283 Michigan Street,2026-03-01,lack of techs
2861 Quadra Street,2026-04-01,no access
335 St. James Street,2026-03-01,lack of techs
337 St. James Street,2026-03-01,lack of techs
343 Simcoe Street,2026-03-01,lack of techs
345-349 Cook Street,2026-04-01,no access
360 Dallas Road,2026-03-01,lack of techs
364 Moss Street,2026-03-01,lack of techs
3958 Cedar Hill Road,2026-02-01,key not on ring
3962 Cedar Hill Road,2026-02-01,key not on ring
4036 Quadra Street,2026-04-01,lack of time
4038 Quadra Street,2026-04-01,lack of time
404 Linden Avenue,2026-03-01,lack of techs
415 Linden Avenue,2026-03-01,annual one day before mbt
415 Michigan Street,2026-03-01,lack of techs
423 Superior Street,2026-02-01,provider change
423 Superior Street,2026-04-01,no access
425 Michigan Street,2026-03-01,lack of techs
425 Wilson Street,2026-04-01,no access
429 Linden Avenue,2026-03-01,lack of techs
435 Michigan Street,2026-03-01,lack of techs
440 Parry Street,2026-03-01,lack of techs
470 Belleville Street,2026-03-01,lack of techs
500 Rithet Street,2026-03-01,lack of techs
502 Dallas Road,2026-03-01,lack of techs
507 Government Street,2026-03-01,lack of techs
60 Dallas Road,2026-03-01,lack of techs
60 Dallas Road,2026-04-01,lack of time
623 Fort Street,2026-02-01,site request
636 Fisgard Street,2026-01-01,site closed
636 Fisgard Street,2026-03-01,spring break
640 Michigan Street,2026-03-01,lack of techs
650 View Street,2026-01-01,construction
650 View Street,2026-02-01,construction
650 View Street,2026-03-01,construction
650 View Street,2026-04-01,construction
650 View Street,2026-05-01,construction
670 Dallas Road,2026-03-01,lack of techs
710 Fort Street,2026-02-01,on hold
728 Yates Street,2026-02-01,keys with sprinkler team
7611 Central Saanich Road,2026-02-01,lack of time
7878 E. Saanich Road,2026-02-01,lack of time
836 Yates Street,2026-04-01,lack of time
838 Fort Street,2026-01-01,annual then annual rescheduled
840 Fort Street,2026-03-01,annual rebooked to this month
880 McKenzie Avenue,2026-03-01,school closed due to spring break
895 Fort Street,2026-04-01,no access
903 Esquimalt Road,2026-01-01,no access
914 Yates Street,2026-04-01,lack of time
920 Hillside Avenue,2026-02-01,on hold
9830 Second Street,2026-03-01,panel replacement
984 Mckenzie Avenue,2026-04-01,lack of time
9858 Fifth Street,2026-04-01,annual but then rescheduled
9891 Seaport Place,2026-01-01,site closed
9905 Fifth Street,2026-02-01,keys with projects team
9975 Fifth Street,2026-02-01,no access site says they gave keys in january
