location_id,recurrence_month,last_job_month,job_id,job_completed_local,note,,
5923371,6,3,9.25564E+14,2023-03-16T17:11:54-07:00,MONTH MISMATCH | LAST JOB CANCELED,https://app.servicetrade.com/locations/5923371,https://app.servicetrade.com/locations/5923371
5923410,4,5,1977095996615361,2025-05-23T18:30:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/5923410,https://app.servicetrade.com/locations/5923410
5923422,7,5,2053631211834497,2025-05-30T16:00:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/5923422,https://app.servicetrade.com/locations/5923422
5923430,4,5,1977095037832833,2025-05-07T12:00:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/5923430,https://app.servicetrade.com/locations/5923430
5923433,6,5,2023981485872705,2025-05-20T16:00:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/5923433,https://app.servicetrade.com/locations/5923433
5923446,11,10,1664226684811201,2024-10-22T10:15:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/5923446,https://app.servicetrade.com/locations/5923446
5923485,10,9,1664174799623553,2024-09-06T16:30:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/5923485,https://app.servicetrade.com/locations/5923485
5923489,8,7,2104326282857089,2025-07-30T16:30:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/5923489,https://app.servicetrade.com/locations/5923489
5923498,7,6,2053631214437505,2025-06-27T16:30:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/5923498,https://app.servicetrade.com/locations/5923498
5923519,7,5,2023981485773057,2025-05-28T16:30:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/5923519,https://app.servicetrade.com/locations/5923519
5923530,8,9,1604614721774145,2024-09-12T16:15:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/5923530,https://app.servicetrade.com/locations/5923530
5923541,9,8,2142885402398145,2025-08-22T16:00:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/5923541,https://app.servicetrade.com/locations/5923541
5923562,8,7,2104327384847873,2025-07-31T15:00:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/5923562,https://app.servicetrade.com/locations/5923562
5923568,7,6,2053631216534913,2025-06-03T14:45:25-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/5923568,https://app.servicetrade.com/locations/5923568
5948576,9,6,9.25564E+14,2023-06-26T15:15:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/5948576,https://app.servicetrade.com/locations/5948576
5948589,11,5,1911803316947649,2025-05-14T15:00:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/5948589,https://app.servicetrade.com/locations/5948589
5948595,6,5,2023981487088578,2025-05-09T16:15:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/5948595,https://app.servicetrade.com/locations/5948595
5948699,9,11,1664226689391617,2024-11-07T09:31:20-08:00,MONTH MISMATCH,https://app.servicetrade.com/locations/5948699,https://app.servicetrade.com/locations/5948699
5948859,4,5,1977095488388865,2025-05-06T18:00:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/5948859,https://app.servicetrade.com/locations/5948859
5949001,11,10,1604614726044161,2024-10-04T16:00:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/5949001,https://app.servicetrade.com/locations/5949001
5949006,12,11,1703765429775617,2024-11-01T14:30:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/5949006,https://app.servicetrade.com/locations/5949006
5949009,9,5,1446485732587649,2024-05-08T16:30:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/5949009,https://app.servicetrade.com/locations/5949009
5949017,11,2,1835584708393537,2025-02-03T09:00:00-08:00,MONTH MISMATCH,https://app.servicetrade.com/locations/5949017,https://app.servicetrade.com/locations/5949017
5949086,12,11,1703761994995521,2024-11-01T11:00:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/5949086,https://app.servicetrade.com/locations/5949086
5949142,5,6,2023978388792321,2025-06-23T16:30:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/5949142,https://app.servicetrade.com/locations/5949142
5970376,10,9,1604614723690177,2024-09-23T16:30:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/5970376,https://app.servicetrade.com/locations/5970376
5970384,8,9,1673958987505921,2024-09-20T11:00:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/5970384,https://app.servicetrade.com/locations/5970384
5970389,9,7,2142887962306561,2025-07-23T15:58:21-07:00,MONTH MISMATCH | LAST JOB CANCELED,https://app.servicetrade.com/locations/5970389,https://app.servicetrade.com/locations/5970389
5970432,3,4,1911803304847169,2025-04-09T11:00:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/5970432,https://app.servicetrade.com/locations/5970432
5970453,12,1,1746286125692545,2025-01-02T13:00:00-08:00,MONTH MISMATCH,https://app.servicetrade.com/locations/5970453,https://app.servicetrade.com/locations/5970453
5971055,3,7,2090287360993345,2025-07-07T16:30:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/5971055,https://app.servicetrade.com/locations/5971055
5971056,8,7,2104326994835841,2025-07-28T15:00:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/5971056,https://app.servicetrade.com/locations/5971056
5971067,9,6,17580065,2022-06-09T14:45:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/5971067,https://app.servicetrade.com/locations/5971067
5971135,9,10,1695221071907265,2024-10-10T11:30:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/5971135,https://app.servicetrade.com/locations/5971135
5971242,5,4,1961674186246209,2025-04-14T11:30:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/5971242,https://app.servicetrade.com/locations/5971242
5971282,11,6,1489993236543617,2024-06-21T14:45:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/5971282,https://app.servicetrade.com/locations/5971282
5971342,8,4,1991398834716033,2025-04-30T10:30:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/5971342,https://app.servicetrade.com/locations/5971342
5971381,5,4,1991399754199809,2025-04-22T15:15:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/5971381,https://app.servicetrade.com/locations/5971381
5971399,6,5,1465834547296257,2024-05-30T16:30:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/5971399,https://app.servicetrade.com/locations/5971399
5971427,6,5,2023981488266561,2025-05-08T16:30:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/5971427,https://app.servicetrade.com/locations/5971427
5971438,7,6,2023984941210305,2025-06-06T14:30:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/5971438,https://app.servicetrade.com/locations/5971438
5971449,8,7,2053631211237699,2025-07-21T15:00:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/5971449,https://app.servicetrade.com/locations/5971449
5971508,6,5,2023981486843585,2025-05-20T16:30:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/5971508,https://app.servicetrade.com/locations/5971508
5971535,9,10,1604614729310017,2024-10-16T12:00:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/5971535,https://app.servicetrade.com/locations/5971535
5971538,9,10,1604614726274497,2024-10-16T16:30:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/5971538,https://app.servicetrade.com/locations/5971538
5971556,5,6,1982649938296321,2025-06-03T12:00:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/5971556,https://app.servicetrade.com/locations/5971556
5971562,4,9,2142887960945857,2025-09-04T14:30:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/5971562,https://app.servicetrade.com/locations/5971562
6133667,3,8,2181051766279233,2025-08-25T16:30:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/6133667,https://app.servicetrade.com/locations/6133667
6134190,7,6,2023984943123649,2025-06-30T16:30:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/6134190,https://app.servicetrade.com/locations/6134190
6164835,9,8,1664226688857281,2024-08-19T12:38:55-07:00,MONTH MISMATCH | LAST JOB CANCELED,https://app.servicetrade.com/locations/6164835,https://app.servicetrade.com/locations/6164835
6164850,9,3,1977132329621761,2025-03-31T16:30:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/6164850,https://app.servicetrade.com/locations/6164850
6183391,4,3,1911803310615617,2025-03-03T13:45:00-08:00,MONTH MISMATCH,https://app.servicetrade.com/locations/6183391,https://app.servicetrade.com/locations/6183391
6183425,12,10,1664226688942785,2024-10-24T16:30:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/6183425,https://app.servicetrade.com/locations/6183425
6183630,7,6,2053631216245505,2025-06-30T16:15:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/6183630,https://app.servicetrade.com/locations/6183630
6192080,7,6,2053631221018881,2025-06-30T10:00:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/6192080,https://app.servicetrade.com/locations/6192080
6192186,9,7,2104327379838017,2025-07-31T16:30:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/6192186,https://app.servicetrade.com/locations/6192186
6212952,10,8,2179710569281729,2025-08-18T16:16:15-07:00,MONTH MISMATCH | LAST JOB CANCELED,https://app.servicetrade.com/locations/6212952,https://app.servicetrade.com/locations/6212952
6218845,8,7,2104327384156801,2025-07-18T12:00:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/6218845,https://app.servicetrade.com/locations/6218845
6219001,9,8,1564914334537921,2024-08-28T16:30:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/6219001,https://app.servicetrade.com/locations/6219001
6229185,9,8,1604614722798657,2024-08-15T10:15:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/6229185,https://app.servicetrade.com/locations/6229185
6239430,8,7,2104326993716673,2025-07-24T16:30:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/6239430,https://app.servicetrade.com/locations/6239430
6239473,4,1,1703761998164929,2025-01-09T12:22:26-08:00,MONTH MISMATCH,https://app.servicetrade.com/locations/6239473,https://app.servicetrade.com/locations/6239473
6239490,9,8,2142887961192641,2025-08-22T16:00:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/6239490,https://app.servicetrade.com/locations/6239490
6239630,8,7,1604614726796673,2024-07-08T09:58:30-07:00,MONTH MISMATCH | LAST JOB CANCELED,https://app.servicetrade.com/locations/6239630,https://app.servicetrade.com/locations/6239630
6254534,8,7,2104326994045121,2025-07-28T15:45:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/6254534,https://app.servicetrade.com/locations/6254534
6254635,11,2,1903309206375745,2025-02-12T16:30:00-08:00,MONTH MISMATCH,https://app.servicetrade.com/locations/6254635,https://app.servicetrade.com/locations/6254635
6254729,8,7,2104326992964545,2025-07-24T16:15:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/6254729,https://app.servicetrade.com/locations/6254729
6254778,8,9,2104326998477249,2025-09-11T15:45:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/6254778,https://app.servicetrade.com/locations/6254778
6254794,1,11,1664226688746369,2024-11-21T14:45:00-08:00,MONTH MISMATCH,https://app.servicetrade.com/locations/6254794,https://app.servicetrade.com/locations/6254794
6255603,9,8,1604614723841153,2024-08-26T16:15:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/6255603,https://app.servicetrade.com/locations/6255603
6261292,8,9,1604614723758977,2024-09-06T16:30:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/6261292,https://app.servicetrade.com/locations/6261292
6261459,8,7,1119482551754242,2023-07-31T16:56:32-07:00,MONTH MISMATCH | LAST JOB CANCELED,https://app.servicetrade.com/locations/6261459,https://app.servicetrade.com/locations/6261459
6261548,8,9,1604614723032833,2024-09-25T09:15:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/6261548,https://app.servicetrade.com/locations/6261548
6313069,6,5,2023981485623617,2025-05-16T16:15:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/6313069,https://app.servicetrade.com/locations/6313069
6315159,12,11,1664226685024385,2024-11-13T16:30:00-08:00,MONTH MISMATCH,https://app.servicetrade.com/locations/6315159,https://app.servicetrade.com/locations/6315159
6315180,11,10,1746286127502209,2024-10-28T16:15:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/6315180,https://app.servicetrade.com/locations/6315180
6408420,1,12,1703765429368513,2024-12-16T11:30:00-08:00,MONTH MISMATCH,https://app.servicetrade.com/locations/6408420,https://app.servicetrade.com/locations/6408420
6408441,12,10,1664208917291649,2024-10-31T14:00:00-07:00,MONTH MISMATCH,https://app.servicetrade.com/locations/6408441,https://app.servicetrade.com/locations/6408441
