location_id,route,status_normalized,label,address,property_management_company,keys_text,key_id
1,-,cancelled,MONTHLY EXT & ELU TESTS - Cancelled in November 2025,#103-4475 Viewmont,Hansbraun,NONE,
69,R15,active,1120 Blanshard Street,1120 Blanshard Street,Equitex,Call Mike 15 mins ahead,
75,R15,active,1125 Douglas Street,1125 Douglas Street,Arpeg Holdings Cactus Club,Call Ken Cooper,77
78,R15,active,1127 Wharf Street,1127 Wharf Street,Darcy's Pub,On Site,80
100,R6,active,1196 Clovelly Terrace,1196 Clovelly Terrace,1196 Strata Corp VIS5164,Call Site Contact,
114,R7,active,1229 Esquimalt Road,1229 Esquimalt Road,Township of Esquimalt,-,
119,-,cancelled,1234 Wharf Street,1234 Wharf Street,Complete Residential,Key at Front Desk,
166,R1,active,1419 Fort Street,1419 Fort Street,Newport Property,N/A,
181,R17,active,1495 Admirals Road,"1495 Admirals Road, Victoria, British Columbia V9A 7K2, Canada",Thrifty Foods,N/A,
197,R13,active,1536 Wilmot Place,1536 Wilmot Place,Devon Properties Ltd.,No keys,
203,R17,active,1580 Hillside Avenue,1580 Hillside Avenue,Thrifty Foods,N/A,
206,R11,active,1590 Fairfield Road,"1590 Fairfield Road, Victoria, British Columbia V8S 1G1, Canada",Thrifty Foods,N/A,
229,R17,active,1860 Island Highway,1860 Island Highway,Thrifty Foods,N/A,
231,R16,active,1885 Forest Park Drive,1885 Forest Park Drive,Panorama Leisure,N/A,
245,R16,active,2030 Malaview Drive,2030 Malaview Drive,Slegg L.P.,N/A,
246,R17,active,2035 Mills Road,2035 Mills Road,Axys,N/A,
264,R16,active,2151 Lannon Way,2151 Lannon Way,Panorama Leisure,N/A,
275,R10,active,2243 Beacon Avenue  - Mary Winspear Centre,2243 Beacon Avenue,Mary Winspear Centre,N/A,
278,R12,active,2261 Keating Cross Road,2261 Keating Cross Road,Vancouver Island Commercial (VIC) Properties,Call Sarina Zhao for access!,287
281,-,cancelled,Discontinue after Dec 2025,2290 Henry Avenue,Trillium Communites,N/A,
284,-,cancelled,Discontinue after Dec 2025,2300 Henry Avenue,Trillium Communites,N/A,
303,R12,active,2476 Mt. Newton Cross Road,2476 Mt. Newton Cross Road,Quality Inn,On Site,
309,R16,active,2545 Oakville Avenue,2545 Oakville Avenue,Strata 1952,N/A,
330,R11,active,2720 Mill Bay Road,2720 Mill Bay Road,Thrifty Foods,N/A,
353,R17,active,3011 Merchant Way,"3011 Merchant Way, Langford, British Columbia V9B 0W9, Canada",Thrifty Foods,N/A,
381,R17,active,3475 Quadra Street,"3475 Quadra Street, Victoria, British Columbia V8X 1G8, Canada",Thrifty Foods,N/A,
413,R4,active,4230 Commerce Circle,4230 Commerce Circle,Newport Property management,NO KEYS - CONTACT ON SITE,
421,R4,active,4420 West Saanich Road,4420 West Saanich Road,IIBG DBA COUNTRY GROCER [4420 WEST SAANICH],N/A,
442,R20,active,508 Toronto Street,508 Toronto Street,AQP Management,No keys,
