key_id,service_trade_site_location_id,address_normalized,property_management_company_normalized,building_normalized,display_address,legacy_monthly_route_location_id,legacy_testing_site_id,keys_text,barcode_text,source,exported_at
2,,10 paul kane/11 cooperage place,proline,,10 Paul Kane/11 Cooperage Place,928,,UV 01,100161,legacy_location,2026-05-11T22:18:57.352487+00:00
3,,1000 mckenzie avenue,starlight/devon,,1000 Mckenzie Avenue,929,,M 0001,100229,legacy_location,2026-05-11T22:18:57.352487+00:00
4,,1000-1012 douglas street,itziar management ltd. (0824606 bc ltd.),,1000-1012 Douglas Street,930,,D 2101,100539,legacy_location,2026-05-11T22:18:57.352487+00:00
5,,1001 wharf street,pastoral developments ltd.,,1001 Wharf Street,931,,"NA 1001
[K2, F1]",100861,legacy_location,2026-05-11T22:18:57.352487+00:00
6,,10016 3rd street,cornerstone,,10016 3rd Street,932,,358,100203,legacy_location,2026-05-11T22:18:57.352487+00:00
7,,10017 avenger way,lumberworld operations ltd.,,10017 Avenger Way,933,,VG 71001,,legacy_location,2026-05-11T22:18:57.352487+00:00
8,,1002 mckenzie avenue,starlight/devon,,1002 Mckenzie Avenue,934,,M 2001,100966,legacy_location,2026-05-11T22:18:57.352487+00:00
9,,1002 pakington,proline,,1002 Pakington,935,,146,100903,legacy_location,2026-05-11T22:18:57.352487+00:00
10,,1002 wharf street,malahat properties,,1002 Wharf Street,936,,at reception,,legacy_location,2026-05-11T22:18:57.352487+00:00
11,,10025 resthaven drive,inken roller c/o richmond property group,,10025 Resthaven Drive,937,,349,100398,legacy_location,2026-05-11T22:18:57.352487+00:00
12,,10030 resthaven drive,raven property management ltd.,,10030 Resthaven Drive,938,,SC 03001,100998,legacy_location,2026-05-11T22:18:57.352487+00:00
13,,1004 pemberton road,raul caballero,,1004 Pemberton Road,939,,PB 4001,100404,legacy_location,2026-05-11T22:18:57.352487+00:00
14,,1005 & 1009 mckenzie avenue,firm management,,1005 & 1009 McKenzie Avenue,940,,MN 5001,100535,legacy_location,2026-05-11T22:18:57.352487+00:00
15,,1005 broad street,richmond property group,,1005 Broad Street,941,,K 5001 [K4],100340,legacy_location,2026-05-11T22:18:57.352487+00:00
16,,1005 pakington street,century 21 queenswood,,1005 Pakington Street,942,,171,100590,legacy_location,2026-05-11T22:18:57.352487+00:00
17,,1005 st. charles street,bross holdings,,1005 St. Charles Street,943,,HC 5001,100464,legacy_location,2026-05-11T22:18:57.352487+00:00
18,,1006 fort street,colliers,,1006 Fort Street,944,,ZZ 6001 K3-F1,100619,legacy_location,2026-05-11T22:18:57.352487+00:00
19,,1006 tolmie avenue,century 21 queenswood,,1006 Tolmie Avenue,945,,163,100251,legacy_location,2026-05-11T22:18:57.352487+00:00
20,,1007 esquimalt road,starlight properties,,1007 Esquimalt Road,946,,LT 7001,100595,legacy_location,2026-05-11T22:18:57.352487+00:00
21,,101 ontario street,proline property management,,101 Ontario Street,947,,TO 101,100210,legacy_location,2026-05-11T22:18:57.352487+00:00
22,,1010 mckenzie avenue,starlight/devon,,1010 Mckenzie Avenue,948,,M 101,100836,legacy_location,2026-05-11T22:18:57.352487+00:00
23,,1012 collinson street,hutton,,1012 Collinson Street,949,,M 2101 K3,100792,legacy_location,2026-05-11T22:18:57.352487+00:00
24,,1013 vancouver street,devon properties,,1013 Vancouver Street,950,,183,100959,legacy_location,2026-05-11T22:18:57.352487+00:00
25,,1015 kings road,darioush diba,,1015 Kings Road,951,,KQ 5101,100272,legacy_location,2026-05-11T22:18:57.352487+00:00
26,,10159 third street,realstar management,,10159 Third Street,952,,93,100807,legacy_location,2026-05-11T22:18:57.352487+00:00
27,,1017 queens avenue,starlight/devon,,1017 Queens Avenue,953,,111,100242,legacy_location,2026-05-11T22:18:57.352487+00:00
28,,1019 mcclure street,strata plan vis 308,,1019 McClure Street,954,,CL 9101,100450,legacy_location,2026-05-11T22:18:57.352487+00:00
29,,1019 rockland avenue,proline,,1019 Rockland Avenue,955,,ST 9101 K2,100558,legacy_location,2026-05-11T22:18:57.352487+00:00
30,,1020 park boulevard,pemberton holmes,,1020 Park Boulevard,956,,92,100728,legacy_location,2026-05-11T22:18:57.352487+00:00
31,,1020 pembroke street,brown bros.,,1020 Pembroke Street,957,,RT 0201 K2,100397,legacy_location,2026-05-11T22:18:57.352487+00:00
32,,1024 fairfield road,firm management,,1024 Fairfield Road,958,,WT 4201 K3,100782,legacy_location,2026-05-11T22:18:57.352487+00:00
33,,1025 johnson street,devon properties,,1025 Johnson Street,959,,JD 5201 K5-F2,100923,legacy_location,2026-05-11T22:18:57.352487+00:00
34,,1026 johnson street,firm management,,1026 Johnson Street,960,,WS 6201 K4-F1,,legacy_location,2026-05-11T22:18:57.352487+00:00
35,,1030 pendergast street,starlight/devon,,1030 Pendergast Street,961,,GT 0301,100580,legacy_location,2026-05-11T22:18:57.352487+00:00
36,,1031 burdett avenue,hutton,,1031 Burdett Avenue,962,,BA 1301 K2,,legacy_location,2026-05-11T22:18:57.352487+00:00
37,,1032 north park,pacific quorum $55,,1032 North Park,963,,435,100547,legacy_location,2026-05-11T22:18:57.352487+00:00
38,,1035 belmont avenue,belmont properties,,1035 Belmont Avenue,964,,445,100083,legacy_location,2026-05-11T22:18:57.352487+00:00
39,,1035 north park / 1720 cook street,first service residential,,1035 North Park / 1720 Cook Street,965,,TH 5301,100909,legacy_location,2026-05-11T22:18:57.352487+00:00
35,,1035 pendergast street,starlight/devon,,1035 Pendergast Street,966,,GT 0301,100580,legacy_location,2026-05-11T22:18:57.352487+00:00
41,,1036 stellys cross road,aleutian property management ltd,,1036 Stellys Cross Road,967,,424,100565,legacy_location,2026-05-11T22:18:57.352487+00:00
42,,104 dallas road,strata #1374 the dolphins,,104 Dallas Road,968,,SP 401 K1-F1,100373,legacy_location,2026-05-11T22:18:57.352487+00:00
41,,1040 stellys cross road,aleutian property management ltd,,1040 Stellys Cross Road,969,,424,100565,legacy_location,2026-05-11T22:18:57.352487+00:00
44,,1041 fairfield road,pemberton holmes,,1041 Fairfield Road,970,,68,100206,legacy_location,2026-05-11T22:18:57.352487+00:00
45,,1041 richardson road,capital west,,1041 Richardson Road,971,,RR 1401,100149,legacy_location,2026-05-11T22:18:57.352487+00:00
46,,1045 mcclure street,brown bros.,,1045 McClure Street,972,,332,100543,legacy_location,2026-05-11T22:18:57.352487+00:00
47,,10459 resthaven drive,proline,,10459 Resthaven Drive,973,,392,100335,legacy_location,2026-05-11T22:18:57.352487+00:00
47,,10461 resthaven drive,proline,,10461 Resthaven Drive,974,,392,100335,legacy_location,2026-05-11T22:18:57.352487+00:00
49,,1049 southgate street,devon properties,,1049 Southgate Street,975,,186,100822,legacy_location,2026-05-11T22:18:57.352487+00:00
50,,105 wilson street,pacifica housing,,105 Wilson Street,976,,W 501,100379,legacy_location,2026-05-11T22:18:57.352487+00:00
51,,1050 park boulevard,hutton,,1050 Park Boulevard,977,,P 0501 K2,100168,legacy_location,2026-05-11T22:18:57.352487+00:00
52,,10520 mcdonald park,complete residential property management,,10520 McDonald Park,978,,DN 02501,100337,legacy_location,2026-05-11T22:18:57.352487+00:00
53,,1055 hillside avenue,firm management,,1055 Hillside Avenue,979,,LM 5501,100864,legacy_location,2026-05-11T22:18:57.352487+00:00
54,,1057 moss street,tim slater,,1057 Moss Street,980,,SM 7501,100122,legacy_location,2026-05-11T22:18:57.352487+00:00
55,,1060 craigdarroch road,pemberton holmes,,1060 Craigdarroch Road,981,,373,100247,legacy_location,2026-05-11T22:18:57.352487+00:00
56,,1060 goldstream avenue,centurion properties,,1060 Goldstream Avenue,982,,412,100522,legacy_location,2026-05-11T22:18:57.352487+00:00
57,,1060 southgate street,southgate manor,,1060 Southgate Street,983,,42,100974,legacy_location,2026-05-11T22:18:57.352487+00:00
58,,1066 foul bay road,newport property,,1066 Foul Bay Road,984,,124,100843,legacy_location,2026-05-11T22:18:57.352487+00:00
59,,1069 southgate street,newport property management,,1069 Southgate Street,985,,307,100138,legacy_location,2026-05-11T22:18:57.352487+00:00
60,,1080 cypress road,storyoga inc.,,1080 Cypress Road,986,,CP 801,100497,legacy_location,2026-05-11T22:18:57.352487+00:00
61,,1088 johnson street,centurion property associates inc.,,1088 Johnson Street,987,,HJ 8801,100979,legacy_location,2026-05-11T22:18:57.352487+00:00
62,,109 wilson street,pacifica housing,,109 Wilson Street,988,,A 901,100795,legacy_location,2026-05-11T22:18:57.352487+00:00
63,,1090 johnson street,firm management,,1090 Johnson Street,989,,TM 0901,100365,legacy_location,2026-05-11T22:18:57.352487+00:00
64,,1097 view street,firm management,,1097 View Street,990,,VS 7901,100077,legacy_location,2026-05-11T22:18:57.352487+00:00
65,,110 douglas street,devon properties,,110 Douglas Street,991,,344,100483,legacy_location,2026-05-11T22:18:57.352487+00:00
66,,1106 balmoral road,peter hejjas,,1106 Balmoral Road,992,,127,100458,legacy_location,2026-05-11T22:18:57.352487+00:00
67,,1110 samar crescent,breakwater realty inc.,,1110 Samar Crescent,993,,MS 0111,100627,legacy_location,2026-05-11T22:18:57.352487+00:00
68,,1111 hillside avenue,century 21,,1111 Hillside Avenue,994,,OP 1111,100921,legacy_location,2026-05-11T22:18:57.352487+00:00
67,,1114 samar crescent,breakwater realty inc.,,1114 Samar Crescent,995,,MS 0111,100627,legacy_location,2026-05-11T22:18:57.352487+00:00
70,,1115 craigflower road,proline,,1115 Craigflower Road,996,,IW 5111 K6-G1,100437,legacy_location,2026-05-11T22:18:57.352487+00:00
