row_number,address,property_management_company,building
2,#103-4475 Viewmont,Hansbraun,MONTHLY EXT & ELU TESTS - Cancelled in November 2025
30,1019 Rockland Avenue,Century 21,
37,1031 Burdett Avenue,Hutton,cancelled service- Nov 8/24 (tw)
38,1032 North Park,Pacific Quorum,
39,1035 Belmont Avenue,Belmont Properties,Months on invoice
41,1036 Stellys Cross Road,Devon Properties,
43,1040 Stellys Cross Road,Devon Properties,
51,1050 Park Boulevard,Hutton,"$60/month (incl. hose, ext, mag lock check)"
54,1057 Moss Street,Tim Slater,Charge CC in ST and email receipt
56,1060 Goldstream Avenue,Centurion Properties,Months on invoice
60,1088 Johnson Street,Centurion Property Associates Inc.,Months on invoice
66,1110 Samar Crescent,Breakwater Realty Inc.,Building A
67,1111 Hillside Avenue,Complete Residential,
68,1114 Samar Crescent,Breakwater Realty Inc.,Building B
69,1115 Craigflower Road,Proline,$65/month (A)
76,1125 Douglas Street,Arpeg Holdings Cactus Club,single panel share with 702 Fort Street
107,1209 & 1229 Clarke Road,Central Saanich Municipality,$65/month (A). PO & Months Required
109,1216 Johnson Street,Devon Properties,Previously R8 - Changed in November 2025
113,1224 Balmoral Road,Starlight c/o Devon Properties,
114,1226 Johnson Street,Pemberton Holmes - Residential,Previously R8 - Changed in November 2025
116,1230 Fort Street,Pacific Quorum,Cancelled November 2025 - keys on X binder
117,1230 Verdier Avenue,Starlight/Devon,Increase to $65 after January 2026
119,1234 Fort Street,Hutton,Previously R8 - Changed in May 2025
122,1236 Verdier Avenue,Starlight/Devon,Increase to $65 after January 2026
123,1249 Rockland Avenue,Sanpra Real Estate,
129,1270 Beach Drive,Associa,
131,129 Gorge Road E,Belmont Properties,months on invoice
140,131 Gorge Road E,Belmont Properties,months on invoice
145,1320 Rockland Avenue,Brown Bros.,We missed doing this during merger. Re-added to MBT in Dec/23
151,133 Gorge Road E,Belmont Properties,months on invoice
152,1337 Saunders Street,Belmont Properties,months on invoice
153,1340 Sussex Road,Belmont Properties,months on invoice
154,135 Gorge Road E,Belmont Properties,months on invoice
160,1399 Stanley Avenue,Belmont Properties,months on invoice 3 months free between August / October 2025 - Projects
162,1400 Quadra Street,Starlight Properties c/o Devon Properties Ltd.,Kane sent an email about the by inhibit situation. Put on hold. 26 June 2025
168,1419 Stadacona Avenue & 1545 Pandora Avenue,Colyvan Pacific,
170,1433 Faircliff Lane,Oakwood,
180,1488 Cook Street,Centurion Properties,Month on invoice
182,1495 Admirals Road,Thrifty Foods,Invoice Monthly starting Apr. 1/21 @ $275 (no TC06) Inv.23882 - Mar.31/21 @ $55 + TC06
