address,month_date,row_number
#103-4475 Viewmont,2025-11-01,2
10 Paul Kane/11 Cooperage Place,2025-02-01,3
10 Paul Kane/11 Cooperage Place,2025-06-01,3
10 Paul Kane/11 Cooperage Place,2025-12-01,3
1000 Mckenzie Avenue,2025-07-01,4
1000 Mckenzie Avenue,2025-08-01,4
10017 Avenger Way,2025-07-01,8
1002 Mckenzie Avenue,2025-07-01,9
10025 Resthaven Drive,2025-03-01,12
1005 & 1009 McKenzie Avenue,2025-01-01,15
1005 & 1009 McKenzie Avenue,2025-02-01,15
1005 & 1009 McKenzie Avenue,2025-03-01,15
1005 & 1009 McKenzie Avenue,2025-04-01,15
1005 & 1009 McKenzie Avenue,2025-05-01,15
1005 St. Charles Street,2025-01-01,18
1007 Esquimalt Road,2025-06-01,21
1007 Esquimalt Road,2025-12-01,21
1010 Mckenzie Avenue,2025-06-01,23
1010 Mckenzie Avenue,2025-07-01,23
1013 Vancouver Street,2025-05-01,25
1020 Pembroke Street,2025-10-01,32
1030 Pendergast Street,2025-10-01,36
1032 North Park,2025-01-01,38
1032 North Park,2025-03-01,38
1032 North Park,2025-05-01,38
1032 North Park,2025-06-01,38
1032 North Park,2025-07-01,38
1035 Pendergast Street,2025-10-01,40
105 Wilson Street,2025-02-01,50
105 Wilson Street,2025-12-01,50
1050 Park Boulevard,2025-04-01,51
1060 Craigdarroch Road,2025-10-01,55
1088 Johnson Street,2025-04-01,60
1088 Johnson Street,2025-06-01,60
109 Wilson Street,2025-02-01,61
109 Wilson Street,2025-12-01,61
1115 Craigflower Road,2025-11-01,69
1120 Blanshard Street,2025-01-01,70
1120 Yates Street,2025-06-01,73
1120 Yates Street,2025-07-01,73
1120 Yates Street,2025-09-01,73
1120 Yates Street,2025-10-01,73
1125 Douglas Street,2025-08-01,76
1130 Fort Street,2025-04-01,80
1130 Fort Street,2025-11-01,80
1133A Reynolds Road,2025-05-01,82
1133A Reynolds Road,2025-06-01,82
1133A Reynolds Road,2025-07-01,82
1133A Reynolds Road,2025-08-01,82
1160 Esquimalt Road,2025-03-01,88
1160 Esquimalt Road,2025-06-01,88
1160 Esquimalt Road,2025-12-01,88
1177 Esquimalt Road,2025-12-01,93
1180 Colville Road,2025-11-01,96
1185 Yates Street,2025-07-01,98
1190 May Street,2025-07-01,99
1194 Esquimalt Road,2025-12-01,100
1196 Clovelly Terrace,2025-04-01,101
1196 Clovelly Terrace,2025-05-01,101
1196 Clovelly Terrace,2025-06-01,101
1196 Sluggett Road,2025-04-01,102
"120 Gorge Road East - Building ""A""",2025-11-01,104
"120 Gorge Road East - Building ""B""",2025-11-01,105
1210 Tattersall Drive,2025-01-01,108
1210 Tattersall Drive,2025-05-01,108
1210 Tattersall Drive,2025-07-01,108
1210 Tattersall Drive,2025-08-01,108
1216 Johnson Street,2025-06-01,109
1217 Pandora Avenue,2025-01-01,110
1217 Pandora Avenue,2025-05-01,110
1220 Pandora Avenue,2025-04-01,111
1226 Johnson Street,2025-08-01,114
1226 Johnson Street,2025-09-01,114
1229 Esquimalt Road,2025-12-01,115
1234 Fort Street,2025-03-01,119
1234 Fort Street,2025-04-01,119
1250 Wharf Street,2025-05-01,125
129 Gorge Road E,2025-11-01,131
1291 Craigflower Road,2025-11-01,132
1293 Craigflower Road,2025-11-01,133
1295 Craigflower Road,2025-11-01,134
1297 Craigflower Road,2025-11-01,135
1300 Yates Street,2025-06-01,136
1300 Yates Street,2025-10-01,136
1300 Yates Street,2025-11-01,136
131 Gorge Road E,2025-11-01,140
1312 Beach Drive,2025-09-01,141
1321 Fernwood Road,2025-10-01,147
1321 Fernwood Road,2025-11-01,147
1321 Fernwood Road,2025-12-01,147
1322 Blanshard Street,2025-08-01,148
1325 Government Street,2025-07-01,150
1337 Saunders Street,2025-12-01,152
1340 Sussex Road,2025-12-01,153
135 Gorge Road E,2025-11-01,154
1399 Stanley Avenue,2025-08-01,160
1400 Quadra Street,2025-07-01,162
1407 Fort Street,2025-06-01,163
1407 Fort Street,2025-07-01,163
1407 Fort Street,2025-08-01,163
1407 Fort Street,2025-09-01,163
1407 Government Street,2025-09-01,164
1410 Fort Street,2025-08-01,165
1430 Stadacona Avenue,2025-05-01,169
1461 Blanshard Street,2025-07-01,175
1461 Blanshard Street,2025-08-01,175
1461 Blanshard Street,2025-10-01,175
1488 Cook Street,2025-06-01,180
1495 Admirals Road,2025-11-01,182
1520 Belcher Avenue,2025-06-01,192
1520 Belcher Avenue,2025-07-01,192
1520 Belcher Avenue,2025-08-01,192
1520 Belcher Avenue,2025-09-01,192
1520 Jubilee Avenue,2025-09-01,193
1527 Cedar Hill Cross Road,2025-07-01,194
1527 Cedar Hill Cross Road,2025-09-01,194
1550 Richmond Road,2025-03-01,199
1550 Richmond Road,2025-04-01,199
1550 Richmond Road,2025-05-01,199
1573/1575 Begbie Street,2025-08-01,203
1590 Fairfield Road,2025-04-01,207
1590 Fairfield Road,2025-09-01,207
160 Wilson Street,2025-02-01,209
160 Wilson Street,2025-12-01,209
1615 Belcher Avenue,2025-01-01,211
1625 Richmond Road,2025-06-01,212
1655 Chambers Street,2025-09-01,215
1677 Hollywood Crescent,2025-04-01,218
1677 Hollywood Crescent,2025-09-01,218
1791 Rockland Avenue,2025-09-01,224
1809 Hovey Road,2025-02-01,226
1885 Forest Park Drive,2025-04-01,232
1885 Forest Park Drive,2025-05-01,232
1885 Forest Park Drive,2025-06-01,232
1885 Forest Park Drive,2025-07-01,232
1939 Lee Avenue,2025-01-01,236
1964 Fort Street,2025-12-01,238
1990 Fort Street,2025-01-01,240
1990 Fort Street,2025-02-01,240
20 Olympia Avenue,2025-11-01,241
2006 Sooke Road,2025-01-01,243
2006 Sooke Road,2025-07-01,243
2006 Sooke Road,2025-11-01,243
2020 Richmond Road,2025-06-01,244
203 Kimta Road,2025-03-01,245
203 Kimta Road,2025-12-01,245
2035 Mills Road,2025-12-01,247
205 Kimta Road,2025-03-01,250
205 Kimta Road,2025-12-01,250
2065 Oak Bay Avenue,2025-09-01,253
214 Moss Street,2025-01-01,260
2151 Lannon Way,2025-04-01,265
