workbook,sheet,month_date,route_number,route_id,run_id,issue_kind,sheet_row,detail
R1 - 1st Monday - Pac Pro 1.xlsx,1st Mon R1 - April 2026,2026-04-01,1,25,216,route_mismatch,39,location id=997; DB address='1118 Balmoral Road'; DB mgmt='Devon Properties Ltd.'; assigned monthly_route_id=27; (DB route_number=3); sheet expects route_number=1 (route entity id=25)
R13 - 2nd Tuesday - Uplands.xlsx,2nd Tues R13 - April 2026,2026-04-01,13,37,244,unmatched,29,'1275-1277 Oscar St' | mgmt '1275 Oscar Street Holdings Ltd' | name None — 0 rows with this canonical street line
R13 - 2nd Tuesday - Uplands.xlsx,2nd Tues R13 - May 2026,2026-05-01,13,37,358,unmatched,27,'1450 Elford Street' | mgmt 'Beacon Community Services' | name None — 0 rows with this canonical street line
R13 - 2nd Tuesday - Uplands.xlsx,2nd Tues R13 - May 2026,2026-05-01,13,37,358,unmatched,28,'1452 Elford Street' | mgmt 'Beacon Community Services' | name None — 0 rows with this canonical street line
R13 - 2nd Tuesday - Uplands.xlsx,2nd Tues R13 - May 2026,2026-05-01,13,37,358,unmatched,32,'1275-1277 Oscar St' | mgmt '1275 Oscar Street Holdings Ltd' | name None — 0 rows with this canonical street line
R17 - 3rd Monday - Thrifty's 2.xlsx,3rd Mon R17 - April 2026,2026-04-01,17,41,96,unmatched,21,'100-777 Royal Oak' | mgmt 'Thrifty Foods' | name 'Thrifty Foods' — 0 rows with this canonical street line
R17 - 3rd Monday - Thrifty's 2.xlsx,3rd Mon R17 - May 2026,2026-05-01,17,41,205,unmatched,21,'100-777 Royal Oak' | mgmt 'Thrifty Foods' | name 'Thrifty Foods' — 0 rows with this canonical street line
R18 - 3rd Tuesday - Beacon Hill.xlsx,3rd Tues R18 - April 2026,2026-04-01,18,42,395,unmatched,29,'349 Cook Street' | mgmt 'AQP Property Management' | name 'Catalina Court' — 0 rows with this canonical street line
R18 - 3rd Tuesday - Beacon Hill.xlsx,3rd Tues R18 - May 2026,2026-05-01,18,42,5,unmatched,29,'349 Cook Street' | mgmt 'AQP Property Management' | name 'Catalina Court' — 0 rows with this canonical street line
R19 - 3rd Tuesday - Mayfair.xlsx,3rd Tues R19 - April 2026,2026-04-01,19,43,2,unmatched,18,'2512 Douglas Street' | mgmt 'Capital West' | name None — 0 rows with this canonical street line
R19 - 3rd Tuesday - Mayfair.xlsx,3rd Tues R19 - April 2026,2026-04-01,19,43,2,unmatched,36,'898 Vernon Avenue' | mgmt 'Firm Management' | name 'Chelsea Green Apart.' — 0 rows with this canonical street line
R19 - 3rd Tuesday - Mayfair.xlsx,3rd Tues R19 - May 2026,2026-05-01,19,43,170,unmatched,18,'2512 Douglas Street' | mgmt 'Capital West' | name None — 0 rows with this canonical street line
